date,cum_units
2019-04-28,540.5
2019-04-29,537.5
2019-04-30,550.23
2019-05-01,549.23
2019-05-03,562.59
2019-05-04,553.5600000000001
2019-05-05,541.7500000000001
2019-05-06,542.8100000000001
2019-05-10,539.0100000000001
2019-05-11,547.57
2019-05-12,557.61
2019-05-13,557.49
2019-05-15,557.19
2019-05-16,556.19
2019-05-17,554.6800000000001
2019-05-18,545.7800000000001
2019-05-19,558.0500000000001
2019-05-20,556.1500000000001
2019-05-24,570.2
2019-05-25,571.0
2019-05-26,572.55
2019-05-31,573.65
2019-06-02,572.65
2019-06-04,567.65
2019-06-08,566.64
2019-06-09,567.84
2019-07-26,564.6700000000001
2019-07-27,565.4200000000001
2019-07-28,568.0400000000001
2019-07-29,567.0400000000001
2019-08-02,580.2300000000001
2019-08-03,579.8600000000001
2019-08-04,579.8700000000001
2019-08-05,584.3500000000001
2019-08-06,595.3300000000002
2019-08-09,593.4000000000002
2019-08-10,577.2500000000002
2019-08-11,578.6700000000002
2019-08-13,579.6700000000002
2019-08-16,585.9000000000002
2019-08-17,613.2300000000002
2019-08-18,625.4000000000002
2019-08-19,626.0500000000002
2019-08-20,633.0200000000002
2019-08-21,637.3000000000002
2019-08-23,632.7000000000002
2019-08-24,638.8800000000001
2019-08-25,640.1400000000001
2019-08-26,640.3900000000001
2019-08-28,638.3900000000001
2019-08-30,638.8600000000001
2019-08-31,637.1200000000001
2019-09-01,635.4100000000001
2019-09-02,633.4100000000001
2019-09-03,631.8100000000001
2019-09-04,630.8100000000001
2019-09-06,632.8100000000001
2019-09-07,640.59
2019-09-08,640.2900000000001
2019-09-13,644.7600000000001
2019-09-14,626.4600000000002
2019-09-15,616.4200000000002
2019-09-16,614.4200000000002
2019-09-17,616.8000000000002
2019-09-19,619.1000000000001
2019-09-20,615.4000000000001
2019-09-21,633.4100000000001
2019-09-22,640.3100000000001
2019-09-23,635.3100000000001
2019-09-24,636.94
2019-09-25,638.71
2019-09-26,641.76
2019-09-27,647.66
2019-09-28,639.85
2019-09-29,638.6700000000001
2019-09-30,638.09
2019-10-01,637.2
2019-10-02,637.71
2019-10-03,635.71
2019-10-04,638.09
2019-10-05,617.59
2019-10-06,606.8000000000001
2019-10-07,604.8000000000001
2019-10-08,603.8000000000001
2019-10-09,602.8000000000001
2019-10-12,605.34
2019-10-13,603.34
2019-10-18,604.07
2019-10-19,608.7600000000001
2019-10-20,609.3900000000001
2019-10-21,613.7400000000001
2019-10-22,612.1600000000001
2019-10-23,610.69
2019-10-25,607.57
2019-10-26,591.7
2019-10-27,589.2900000000001
2019-10-28,592.6300000000001
2019-10-29,594.6000000000001
2019-10-30,590.8600000000001
2019-10-31,589.6700000000001
2019-11-01,583.5400000000001
2019-11-02,604.1700000000001
2019-11-03,600.4000000000001
2019-11-04,594.8600000000001
2019-11-05,594.1800000000002
2019-11-08,600.0000000000002
2019-11-09,616.8000000000002
2019-11-10,642.6200000000002
